ID,Center Name,ServeLesbian,ServeGay,ServeBisexual,ServeTransgender,GeoCoverage,WebPresence,WebAddress,NGOStatus,InOperation,SiteType,OrgType,PhisicalSpace,SpaceType,Street Address,City,State,Zip,SHServices,HealthScreenings,CTServices,SupportServices,BlackSpecific,LatinoSpecific,APISpecific,MaleSpecific,FemaleSpecific,GenerationSpecific,Source,CommunityCenter,CommHealthCenter,,,,,,
074,"The Lesbian, Gay, Bisexual and Transgender Community Center (NYC)",1,1,1,1,2,1,https://www.gaycenter.org,1,1,1,0,1,1,208 West 13th Street,New York,New York,10011,1,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,
075,The LGBTQ Center of Long Beach,1,1,1,1,2,1,www.centerlb.org,1,1,1,0,1,1,2017 East 4th Street,Long Beach,California,90814,1,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,
076,The Montrose Center,1,1,1,1,2,1,http://www.montrosecenter.org/hub/,1,1,1,0,1,1,401 Branard Street,Houston,Texas,77006,1,0,1,1,0,0,0,0,0,0,1,1,1,,,,,,
077,The Pride Center at Equality Park,1,1,1,1,2,1,http://www.pridecenterflorida.org/,1,1,1,0,1,1,2040 North Dixie Highway,Wilton Manors,Florida,33305,0,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,
078,Time Out Youth Center,1,1,1,1,2,1,http://www.timeoutyouth.org/,1,1,1,0,1,1,2320 North Davidson Street,Charlotte,North Carolina,28205,0,0,1,1,0,0,0,0,0,1,1,1,1,,,,,,
079,Transgender Resource Center of New Mexico,0,0,0,1,1,1,http://www.tgrcnm.org/,1,1,1,0,1,1,149 Jackson Street Northeast,Albuquerque,New Mexico,87108,0,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,
080,Utah Pride Center,1,1,1,1,1,1,http://www.utahpridecenter.org/,1,1,1,0,1,1,255 East 400 South,Salt Lake City,Utah,84111,0,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,
081,William Way LGBT Community Center,1,1,1,1,2,1,http://www.waygay.org/,1,1,1,0,1,1,1315 Spruce Street,Philadelphia,Pennsylvania,19107,0,0,0,1,0,0,0,0,0,0,1,1,1,,,,,,
082,Wingspan,1,1,1,1,2,1,,1,0,1,0,1,1,375 South Euclid Street,Tuscon,Arizona,85719,1,1,1,1,0,0,0,0,0,0,1,0,0,,,,,,
083,Callen-Lorde Seventeen: The Thea Spyer Center for Integrated Health,1,1,1,1,2,1,https://www.callen-lorde.org,1,1,2,0,1,1,230 West 17th Street,New York,New York,10011,1,1,1,1,0,0,0,0,0,0,2,1,1,,,,,,
084,Callen-Lorde Community Health Center,1,1,1,1,2,1,https://www.callen-lorde.org,1,1,2,0,1,1,356 West 18th Street,New York,New York,10011,1,1,1,1,0,0,0,0,0,0,2,1,1,,,,,,
085,Affinity Community Services,1,1,1,1,2,1,http://www.affinity95.org/,1,1,1,0,1,1,1424-28 East 53rd Street,Chicago,Illinois,60615,0,1,0,1,1,0,0,0,0,1,3,1,1,,,,,,
086,All Under One Roof,1,1,1,1,2,1,http://www.allunderoneroof.org/,1,1,1,0,1,2,234 North Main Street,Pocatello,Idaho,83201,0,1,0,1,0,0,0,0,0,1,3,1,1,,,,,,
087,ALSO Youth,1,1,1,1,2,1,http://www.alsoyouth.org/,1,1,1,0,1,1,1470 Boulevard of the Arts,Sarasota,Florida,34236,0,0,0,0,0,0,0,0,0,1,3,1,0,,,,,,
088,Bakersfield LGBTQ,1,1,1,1,2,1,http://www.bakersfieldpride.org/1.html,1,1,0,0,0,0,9999,Bakersfield,California,9999,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
089,Bradbury Sullivan LGBT Community Center,1,1,1,1,2,1,http://www.bradburysullivancenter.org/,1,0,0,0,0,0,9999,Bethlehem,Pennsylvania,9999,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
090,"Build Our Center, Inc.",1,1,1,1,2,1,http://buildourcenter.org/,1,1,0,0,0,0,9999,Reno,Nevada,9999,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
091,Camp Rehoboth,1,1,0,0,2,1,http://www.camprehoboth.com/,1,1,1,0,1,1,37 Baltimore Avenue,Rehoboth Beach,Delaware,19971,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
092,Casa Ruby,1,1,1,1,2,1,http://www.casaruby.org/,1,1,1,0,1,1,2822 Georgia Avenue Northwest,Washington,District of Columbia,20001,0,0,0,1,0,1,0,0,0,0,3,1,1,,,,,,
093,Cascades Rainbow Community Center,1,1,1,1,2,1,http://cascaderainbow.org/,0,1,1,0,1,1,1508 North 18th Street,Mt. Vernon,Washington,98273,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
094,The Centers at CAR,1,1,1,1,1,1,http://www.car4ar.org/,0,1,1,0,1,2,800 Scott Street,Little Rock,Arkansas,72201,0,0,0,0,0,0,0,0,0,1,3,0,0,,,,,,
095,Center for Equality,1,1,1,1,2,1,http://thecenterforequality.org/,1,1,1,0,1,2,220 South Phillips Avenue,Souix Falls,South Dakota,57104,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
096,Colorado Springs Queer Collective,1,1,1,1,2,1,http://csqueercollective.org/,0,1,0,0,0,0,9999,Colorado Springs,Colorado,9999,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
097,Destination Tomorrow,1,1,1,1,2,1,http://destinationtomorrow.org/,1,1,1,0,1,1,1231 Lafayette Street,Bronx,New York,10474,0,0,0,1,0,0,0,0,0,1,3,1,1,,,,,,
098,"Focus on Awareness and Information Resources of New York, Inc. (FAIRNY)",1,1,1,1,1,1,http://www.fairny.org/,0,1,0,1,0,0,9999,Dewitt,New York,9999,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
099,Gay & Lesbian Community Center of Southern Nevada,1,1,1,1,2,1,http://www.thecenterlv.org/,1,1,1,0,1,1,401 South Maryland Parkway,Las Vegas,Nevada,89101,1,1,0,1,0,0,0,0,0,0,3,1,1,,,,,,
100,Gay Alliance of the Genesee Valley,1,1,1,1,2,1,http://www.gayalliance.org/,1,1,1,0,1,1,875 East Main Street,Rochester,New York,14605,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
101,"Gay, Lesbian, Bisexual, & Transgender Community Center of Baltimore",1,1,1,1,2,1,http://www.glccb.org/,1,1,1,0,1,1,1000 Cathedral Street,Baltimore,Maryland,21201,0,1,0,1,0,0,0,0,0,0,3,1,1,,,,,,
102,Gender Expansion Project,0,0,0,1,2,1,http://genderexpansionproject.org/,0,1,1,0,1,1,121 North Higgins Avenue,Missoula,Montana,59801,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
103,"GLBT Resource Center of Michiana, Inc.",1,1,1,1,2,1,http://www.michianaglbtcenter.org/,1,1,1,0,1,1,1522 East Mishawaka Avenue,South Bend,Indiana,46615,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
104,Harlem Pride,1,1,1,1,2,1,https://harlempride.org,1,1,1,0,1,1,42 Macombs Place,New York,New York,10039,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
105,Harriet Hancock LGBT Center,1,1,1,1,2,1,http://lgbtcentersc.org/,1,1,1,0,1,1,1108 Woodrow Street,Columbia,South Carolina,29205,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
106,Hawaii LGBT Legacy Foundation,1,1,1,1,1,1,http://hawaiilgbtlegacyfoundation.com/,1,1,0,0,0,0,9999,Honolulu,Hawaii,9999,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
107,"Identity, Inc - Gay & Lesbian Community Center of Anchorage",1,1,1,1,2,1,http://www.identityinc.org/,1,1,1,0,1,1,336 East 5th Avenue,Anchorage,Alaska,99501,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
108,Jim Toy Community Center,1,1,1,1,2,1,http://jimtoycenter.org/,1,1,1,0,1,1,319 Braun Court,Ann Arbor,Michigan,48104,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
109,Kalamazoo Gay Lesbian Resource Center,1,1,1,1,2,1,http://www.kglrc.org/,1,1,1,0,1,1,629 Pioneer Street,Kalamazoo,Michigan,49008,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
110,Kaleidoscope Youth Center,1,1,1,1,2,1,http://www.kycohio.org/,1,1,1,0,1,1,1904 North High Street,Columbus,Ohio,43201,0,1,0,0,0,0,0,0,0,1,3,1,1,,,,,,
